well_number,lat,long,name,pump_rate
1,25.8865084,45.36376714,Al Majmaah 1,0.9461
2,25.86218877,45.33864252,Al Majmaah 2,0.9461
3,25.66184134,45.48142753,Jalajil,0.0000
4,25.59004053,45.5691668,Rawdah,0.3154
5,25.56919514,45.60929121,Al Hawtah,0.3154
6,25.54834974,45.78241437,Ushayrah,0.3154
7,25.59235669,45.82387485,Tumair,0.0000
8,25.26230457,45.86737541,Thadiq,0.3154
9,25.30515345,45.19867133,Ushayqir,0.3154
10,25.22640417,45.26005308,Shaqra,0.3154
11,25.04111175,45.4806487,Marah,0.3154
12,24.86855819,45.86813608,Al Barrah,0.3154
13,25.08743486,46.12562526,Huraymila,0.3154
14,25.09322525,46.37030003,Salbukh 22,0.0000
15,25.07585408,46.4091741,Salbukh 21,0.0000
16,25.05037638,46.43423623,Salbukh 20,0.0000
17,25.02605675,46.46306394,Salbukh 19,0.0000
18,25.11522872,46.41424232,Salbukh 6,0.0000
19,25.09901563,46.43429726,Salbukh 7,0.0000
20,25.08048639,46.46564164,Salbukh 8,0.0000
21,25.05153445,46.48317119,Salbukh 9,0.0000
22,25.15112913,46.45318322,Salbukh 10,0.0000
23,25.13375796,46.47198201,Salbukh 11,0.0000
24,25.11059641,46.49830175,Salbukh 12,0.0000
25,25.08859294,46.52713236,Salbukh 13,1.6597
26,25.15807759,46.51341779,Salbukh 14,1.8141
27,25.13839027,46.54852483,Salbukh 15,1.8141
28,25.12333526,46.57360004,Salbukh 16,1.5823
29,25.10364794,46.59239592,Salbukh 17,1.4666
30,24.82223509,46.57322225,Salbukh 4,1.1578
31,24.79328315,46.57945945,Salbukh 3,0.7720
32,24.76085698,46.58443759,Salbukh 2,1.5440
33,24.73769543,46.59193676,Salbukh 1,1.5440
34,24.69600463,46.60945032,Salbukh 5,1.1578
35,25.02721482,46.60108296,Faydat er Ritha 123,0.9461
36,25.2403011,46.61013325,Khasha,0.1577
37,25.26809496,46.60263989,Thamamah 3,0.1577
38,25.27041112,46.6264822,Thamamah 1,0.1577
39,25.2403011,46.63773676,Thamamah 2,0.1577
40,25.25883034,46.63776001,Thamamah 5,0.1577
41,25.09438332,46.72036422,Buwayb 1,0.0000
42,25.06890562,46.75044518,Buwayb 4,0.0000
43,25.10712218,46.76178547,Buwayb 2,0.0000
44,25.08164447,46.77806467,Buwayb 5,0.0000
45,25.04690214,46.80813401,Buwayb 8,0.0000
46,24.9820498,46.82687321,Buwayb 14,0.0000
47,24.95193978,46.82307132,Buwayb 17,0.0000
48,25.1268095,46.78815898,Buwayb 3,2.1568
49,25.10017371,46.81321967,Buwayb 11,2.1568
50,25.07932831,46.82824997,Buwayb 6,2.1568
51,25.06079907,46.84955671,Buwayb 7,2.1568
52,25.02489867,46.83570991,Buwayb 9,2.1568
53,24.99478865,46.86703976,Buwayb 12,2.1568
54,24.95541401,46.85820742,Buwayb 15,2.1568
55,24.91719745,46.84937653,Buwayb 18,2.1568
56,25.02489867,46.88464341,Buwayb 10,2.1568
57,24.95541401,46.90337681,Buwayb 13,2.1568
58,24.925304,46.89204668,Buwayb 16,2.1568
59,24.70990156,46.889267,Nat. Guard 5,1.7345
